A1_Business_Type,A2_Years_Operation,A3_Registration,A4_Distance_AAU,A5_Current_FullTime,A6_Current_PartTime,B1_Received_Support,B2_Support_Type,B3_Participation_Times,B4_First_Support_Month,B4_First_Support_Year,B5_Recent_Support_Month,B5_Recent_Support_Year,B6_Department,C1_Revenue_Before_ETB,C1_Revenue_Current_ETB,C1_Profit_Before_ETB,C1_Profit_Current_ETB,C2_FullTime_Before,C2_FullTime_Current,C2_PartTime_Before,C2_PartTime_Current,C3.1_Bank_Loan,C3.2_Loan_Amount_ETB,C3.3_University_Help_Loan,C3.4_Other_Credit,C4.1_New_Markets,C4.2_New_Location,C4.3_New_Product_Service,C4.4_Certification,C5.1_Formal_Records_Current,C5.2_Formal_Records_Before,C5.3_Tax_Current,C5.4_Tax_Before,C6.1_Still_Operating,C6.2_Operate_Next3Years,D1,D2,D3,D4,D5,D6,D7,D8,D9
Service,16,Registered,1-3km,17,7,Yes,Training/workshop,2,4,2024,1,2025,Management,139906,183869,21990,33681,14,17,6,7,No,,,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,4,4,3,4,4,2,4,4,4
Retail,15,Registered,1-3km,8,7,Yes,One-on-one consultancy,4,11,2021,3,2025,Logistics & Supply Chain,73659,113798,15105,25172,3,8,4,7,No,,,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4,4,5,4,4,3,4,5,3
Retail,8,Registered,1-3km,13,9,Yes,Marketing assistance,1,10,2021,1,2025,Public Administration,71054,81559,7276,12015,12,13,6,9,No,,,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,4,5,4,4,3,4,3,4,4
Service,10,Registered,3-6km,8,3,Yes,One-on-one consultancy,7,9,2021,4,2025,Economics,106568,124199,15391,18713,7,8,1,3,No,,,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,4,5,4,4,4,5,3,5,4
Other,13,Registered,1-3km,8,3,Yes,Student project assistance,5,10,2023,3,2025,Accounting & Finance,80347,105589,16404,27013,4,8,3,3,Yes,617012,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,2,4,4,5,4,4,3,2,3
Service,10,Registered,3-6km,10,2,Yes,Business planning,6,1,2020,9,2025,BAIS,80460,91690,8755,12868,6,10,1,2,No,,,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,1,4,2,5,4,3,4,2,4
Service,3,Registered,1-3km,9,9,Yes,One-on-one consultancy,6,7,2022,2,2025,Marketing Management,148855,201796,14047,21350,4,9,6,9,Yes,178144,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,5,3,3,4,2,4,4,4,4
Service,8,Not Registered,1-3km,6,4,Yes,Marketing assistance,3,1,2022,8,2025,Economics,244384,345352,23560,37007,1,6,3,4,Yes,157808,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,4,4,5,4,4,4,5,4,5
Manufacturing,16,Registered,3-6km,9,5,Yes,Marketing assistance,2,3,2020,1,2025,Economics,142552,194860,22359,30445,4,9,5,5,Yes,108601,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,4,2,4,4,4,4,4,5,4
Manufacturing,6,Registered,1-3km,14,6,Yes,Training/workshop,6,8,2020,7,2025,Accounting & Finance,138651,198336,12596,20597,14,14,4,6,Yes,245736,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,5,4,3,5,5,4,4,4,3
Retail,10,Registered,Less than 1km,8,0,Yes,Financial/accounting advice,1,10,2024,11,2025,Logistics & Supply Chain,48587,63549,9480,14464,5,8,0,0,Yes,654717,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,5,5,3,5,4,5,3,4,5
Retail,7,Registered,1-3km,3,5,Yes,Student project assistance,7,1,2024,10,2025,Management,150451,197954,16339,22587,3,3,4,5,No,,,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,5,4,4,2,2,4,5,4,4
Retail,15,Registered,3-6km,13,8,Yes,Marketing assistance,6,12,2024,7,2025,BAIS,45982,61371,6007,9719,8,13,5,8,No,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,4,4,4,5,4,1,5,5,4
Retail,16,Registered,Less than 1km,14,7,Yes,One-on-one consultancy,6,7,2022,7,2025,Marketing Management,193399,308319,38147,51351,9,14,6,7,No,,,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5,4,4,5,2,4,2,5,3
Retail,7,Registered,Less than 1km,2,3,Yes,Financial/accounting advice,7,3,2021,1,2025,Economics,243783,274827,42645,48237,1,2,1,3,No,,,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,5,5,5,5,5,5,5,4,4
Service,10,Not Registered,Less than 1km,16,6,Yes,Financial/accounting advice,5,9,2021,12,2025,Public Administration,191589,285426,36059,46371,12,16,3,6,No,,,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,2,2,3,5,5,5,5,4,5
Retail,11,Not Registered,1-3km,6,7,Yes,One-on-one consultancy,5,8,2020,1,2025,Public Administration,55411,84831,8852,11371,3,6,5,7,Yes,204786,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Not sure,4,5,4,5,4,3,4,3,5
Service,11,Not Registered,3-6km,17,1,Yes,Student project assistance,4,5,2022,5,2025,BAIS,244071,356020,20773,23334,14,17,1,1,No,,,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,3,4,3,4,3,4,5,2,3
Other,8,Not Registered,1-3km,4,3,Yes,Training/workshop,1,11,2022,3,2025,Management,242523,385432,24902,42051,1,4,3,3,No,,,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,2,5,5,4,1,3,5,5,4
Retail,2,Registered,3-6km,16,5,Yes,Marketing assistance,1,5,2021,10,2025,Management,52543,84033,5054,8448,13,16,5,5,Yes,582322,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,4,4,5,4,5,4,5,2,4
Service,10,Not Registered,Less than 1km,9,7,Yes,Business planning,5,3,2021,5,2025,BAIS,38608,58492,7980,10901,6,9,4,7,Yes,509457,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,4,3,4,4,4,3,5,4,2
Service,2,Registered,1-3km,10,8,Yes,Financial/accounting advice,5,1,2020,6,2025,Accounting & Finance,135910,165510,21356,33913,8,10,6,8,Yes,185369,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,4,4,5,4,5,5,5,5,3
Manufacturing,17,Registered,1-3km,2,3,Yes,Business planning,5,3,2023,5,2025,BAIS,32328,39961,6211,7698,1,2,2,3,No,,,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,4,3,5,5,5,4,3,2,4
Service,4,Registered,1-3km,14,2,Yes,Training/workshop,1,6,2024,10,2025,Public Administration,111982,123528,11446,15474,9,14,1,2,Yes,113050,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,3,5,2,4,3,4,5,4,2
Service,2,Not Registered,1-3km,2,5,Yes,Student project assistance,5,2,2024,4,2025,BAIS,162199,207404,19061,28691,1,2,2,5,No,,,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Not sure,3,5,4,5,4,5,3,5,4
Service,10,Registered,1-3km,5,2,Yes,Student project assistance,5,5,2020,7,2025,Logistics & Supply Chain,137990,192937,21778,31890,5,5,2,2,Yes,701863,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,3,4,4,5,5,4,4,5,4
Service,11,Registered,3-6km,12,9,Yes,One-on-one consultancy,6,2,2024,12,2025,BAIS,212770,328750,22496,25846,7,12,7,9,No,,,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Not sure,4,5,5,4,4,4,1,4,4
Retail,12,Registered,Less than 1km,12,1,Yes,Business planning,5,1,2022,2,2025,Logistics & Supply Chain,207186,268423,17732,30001,11,12,0,1,Yes,397220,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,5,4,4,3,5,4,5,4,5
Retail,2,Registered,3-6km,4,4,Yes,Student project assistance,3,6,2022,5,2025,Accounting & Finance,201465,285814,40314,52754,2,4,4,4,No,,,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4,1,4,4,4,3,4,5,2
Retail,16,Registered,1-3km,4,0,Yes,Marketing assistance,4,12,2021,10,2025,Public Administration,243935,335900,24502,36274,1,4,0,0,No,,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,2,4,4,3,4,5,5,4,5
